Date,PB_sales,Pplay_Sales,Pot,Price_Per_Tix,Num_Tix
4/13/2019,31326012,3464933,101,2,15663006
4/10/2019,26521906,2976932,84,2,13260953
4/6/2019,29051180,3321871,68,2,14525590
4/3/2019,26437826,3006024,54,2,13218913
3/30/2019,29940006,3383737,40,2,14970003
3/27/2019,268121884,19510057,768.4,2,134060942
3/23/2019,180596274,13655216,625,2,90298137
3/20/2019,142059682,10659299,550,2,71029841
3/16/2019,92996352,7622979,495,2,46498176
3/13/2019,74586756,6187631,448,2,37293378
3/9/2019,68792532,6031686,414,2,34396266
3/6/2019,52008350,4703458,381,2,26004175
3/2/2019,52518062,4935034,348,2,26259031
2/27/2019,44592024,4069603,322,2,22296012
2/23/2019,45766604,4304748,304,2,22883302
2/20/2019,36639354,3464733,282,2,18319677
2/16/2019,39845202,3860406,260,2,19922601
2/13/2019,35041034,3341850,242,2,17520517
2/9/2019,37420258,3685449,224,2,18710129
2/6/2019,33693472,3222982,204,2,16846736
2/2/2019,34817016,3554156,191,2,17408508
1/30/2019,29129006,2900720,174,2,14564503
1/26/2019,31955010,3288600,161,2,15977505
1/23/2019,27564294,2802352,144,2,13782147
1/19/2019,31171388,3221219,129,2,15585694
1/16/2019,27117258,2808251,112,2,13558629
1/12/2019,27908520,3012201,96,2,13954260
1/9/2019,24147638,2580772,82,2,12073819
1/5/2019,25968734,2872279,69,2,12984367
1/2/2019,25950558,2687385,53,2,12975279
12/29/2018,28671968,3069411,40,2,14335984
12/26/2018,43501602,3908164,298.3,2,21750801
12/22/2018,38994362,3801620,281,2,19497181
12/19/2018,33480578,3286082,262,2,16740289
12/15/2018,35483600,3590342,246,2,17741800
12/12/2018,31379884,3148165,230,2,15689942
12/8/2018,33448932,3480604,217,2,16724466
12/5/2018,30543054,3096346,200,2,15271527
12/1/2018,31609290,3360984,183,2,15804645
11/28/2018,27877814,2899590,171,2,13938907
11/24/2018,28250576,3053742,155,2,14125288
11/21/2018,30136074,3111758,139,2,15068037
11/17/2018,30385258,3265669,124,2,15192629
11/14/2018,26871040,2822472,107,2,13435520
11/10/2018,28910624,3142387,92,2,14455312
11/7/2018,25704060,2779857,71,2,12852030
11/3/2018,29445326,3274431,53,2,14722663
10/31/2018,27779792,2973968,40,2,13889896
10/27/2018,172827840,12960191,687.8,2,86413920
10/24/2018,239698028,16498213,620,2,119849014
10/20/2018,181349524,13130011,430,2,90674762
10/17/2018,111342204,8361372,345,2,55671102
10/13/2018,67461068,5684268,314,2,33730534
10/10/2018,48050510,4174657,282,2,24025255
10/6/2018,45213008,4216248,253,2,22606504
10/3/2018,37318426,3523069,229,2,18659213
9/29/2018,37015830,3668523,213,2,18507915
9/26/2018,30337722,3007942,193,2,15168861
9/22/2018,31598040,3233931,178,2,15799020
9/19/2018,27395698,2781752,163,2,13697849
9/15/2018,29733888,3059648,147,2,14866944
9/12/2018,26297552,2707503,132,2,13148776
9/8/2018,28315432,3014676,114,2,14157716
9/5/2018,24136414,2567574,100,2,12068207
9/1/2018,26042204,2878473,90,2,13021102
8/29/2018,21737270,2368323,80,2,10868635
8/25/2018,24605038,2729994,70,2,12302519
8/22/2018,21466574,2366192,60,2,10733287
8/18/2018,24232630,2683160,50,2,12116315
8/15/2018,21516982,2356079,40,2,10758491
8/11/2018,44202534,4054189,245.6,2,22101267
8/8/2018,40026648,3620810,223,2,20013324
8/4/2018,40160196,3768385,203,2,20080098
8/1/2018,32829698,3129202,187,2,16414849
7/28/2018,33377746,3328817,168,2,16688873
7/25/2018,35691998,3352231,147,2,17845999
7/21/2018,34669862,3449971,130,2,17334931
7/18/2018,27916646,2837254,110,2,13958323
7/14/2018,30023546,3130854,100,2,15011773
7/11/2018,23623992,2511499,90,2,11811996
7/7/2018,25167654,2764361,80,2,12583827
7/4/2018,21648058,2337861,70,2,10824029
6/30/2018,24592874,2751152,60,2,12296437
6/27/2018,21089532,2318905,50,2,10544766
6/23/2018,24224306,2675090,40,2,12112153
6/20/2018,28824036,2895375,150.4,2,14412018
6/16/2018,31639224,3254532,137,2,15819612
6/13/2018,27631664,2827372,121,2,13815832
6/9/2018,29527152,3110713,105,2,14763576
6/6/2018,24522080,2653442,87,2,12261040
6/2/2018,27371306,3038277,74,2,13685653
